primary_key,address,neighborhood,geocoded_address,lat,lng,place_id,raw_url,maps_url
1,"R HERCULANO PIMENTEL, LT. A-16",HORTA NOVA,"R. Herculano Pimentel, 1600 Lisboa, Portugal",38.7670909,-9.1799601,ChIJ1zZHNc8yGQ0RMEjs150QzRo,https://maps.googleapis.com/maps/api/geocode/json?address=R%20HERCULANO%20PIMENTEL%2C%20LT.%20A-16&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7670909,-9.1799601"
2,"R ALFREDO FERRAZ, LT. A-15",HORTA NOVA,"R. Alfredo Ferraz, 1600 Lisboa, Portugal",38.7661727,-9.1811551,ChIJaYTXJc8yGQ0R-MgvvkpYAro,https://maps.googleapis.com/maps/api/geocode/json?address=R%20ALFREDO%20FERRAZ%2C%20LT.%20A-15&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7661727,-9.1811551"
3,"R HERCULANO PIMENTEL, LT. A-13",HORTA NOVA,"R. Herculano Pimentel, 1600 Lisboa, Portugal",38.7670909,-9.1799601,ChIJ1zZHNc8yGQ0RMEjs150QzRo,https://maps.googleapis.com/maps/api/geocode/json?address=R%20HERCULANO%20PIMENTEL%2C%20LT.%20A-13&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7670909,-9.1799601"
4,"R VITOR SANTOS, LT. R-7",HORTA NOVA,,,,,,
5,"R EUGENIO SALVADOR, LT. A-8",HORTA NOVA,,,,,,
6,"EST PACO LUMIAR, LT. R-3",HORTA NOVA,"Estr. do Lumiar, 1600 Lisboa, Portugal",38.7743022,-9.1679321,ChIJa0p54b8yGQ0R-BWCJatTDQU,https://maps.googleapis.com/maps/api/geocode/json?address=EST%20PACO%20LUMIAR%2C%20LT.%20R-3&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7743022,-9.1679321"
7,"R VITOR SANTOS, LT. C-2",HORTA NOVA,,,,,,
8,"R HERCULANO PIMENTEL, LT. A-12",HORTA NOVA,"R. Herculano Pimentel, 1600 Lisboa, Portugal",38.7670909,-9.1799601,ChIJ1zZHNc8yGQ0RMEjs150QzRo,https://maps.googleapis.com/maps/api/geocode/json?address=R%20HERCULANO%20PIMENTEL%2C%20LT.%20A-12&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7670909,-9.1799601"
9,"EST PACO LUMIAR, LT. B-9",HORTA NOVA,"Estr. do Lumiar, 1600 Lisboa, Portugal",38.7743022,-9.1679321,ChIJa0p54b8yGQ0R-BWCJatTDQU,https://maps.googleapis.com/maps/api/geocode/json?address=EST%20PACO%20LUMIAR%2C%20LT.%20B-9&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7743022,-9.1679321"
10,"R VITOR SANTOS, LT. A-17",HORTA NOVA,,,,,,
11,"R VITOR SANTOS, LT. C-3",HORTA NOVA,,,,,,
12,"R VITOR SANTOS, LT. R-5",HORTA NOVA,,,,,,
13,"R EUGENIO SALVADOR, LT. A-6",HORTA NOVA,,,,,,
14,"R VITOR SANTOS, LT. B-10",HORTA NOVA,,,,,,
15,"EST PACO LUMIAR, LT. A-3",HORTA NOVA,"Estr. do Lumiar, 1600 Lisboa, Portugal",38.7743022,-9.1679321,ChIJa0p54b8yGQ0R-BWCJatTDQU,https://maps.googleapis.com/maps/api/geocode/json?address=EST%20PACO%20LUMIAR%2C%20LT.%20A-3&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7743022,-9.1679321"
16,"R ALFREDO FERRAZ, LT. A-11",HORTA NOVA,"R. Alfredo Ferraz, 1600 Lisboa, Portugal",38.7661727,-9.1811551,ChIJaYTXJc8yGQ0R-MgvvkpYAro,https://maps.googleapis.com/maps/api/geocode/json?address=R%20ALFREDO%20FERRAZ%2C%20LT.%20A-11&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7661727,-9.1811551"
17,"R PRISTA MONTEIRO, LT. B-1",HORTA NOVA,"R. Prista Monteiro, 1600 Lisboa, Portugal",38.7654368,-9.1808035,ChIJO67EcM8yGQ0RMFAQq0aTqR8,https://maps.googleapis.com/maps/api/geocode/json?address=R%20PRISTA%20MONTEIRO%2C%20LT.%20B-1&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7654368,-9.1808035"
18,"R VITOR SANTOS, LT. C-1",HORTA NOVA,,,,,,
19,"EST PACO LUMIAR, LT. B-2",HORTA NOVA,"Estr. do Lumiar, 1600 Lisboa, Portugal",38.7743022,-9.1679321,ChIJa0p54b8yGQ0R-BWCJatTDQU,https://maps.googleapis.com/maps/api/geocode/json?address=EST%20PACO%20LUMIAR%2C%20LT.%20B-2&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7743022,-9.1679321"
20,"R VITOR SANTOS, LT. A-18",HORTA NOVA,,,,,,
21,"EST PACO LUMIAR, LT. R-4",HORTA NOVA,"Estr. do Lumiar, 1600 Lisboa, Portugal",38.7743022,-9.1679321,ChIJa0p54b8yGQ0R-BWCJatTDQU,https://maps.googleapis.com/maps/api/geocode/json?address=EST%20PACO%20LUMIAR%2C%20LT.%20R-4&key=AIzaSyCPsXQOyOEGN5vOiTi2Hy91FmguF56zuxI,"https://www.google.com/maps/search/?api=1&query=38.7743022,-9.1679321"
