primary_key,address,neighborhood
1,"R HERCULANO PIMENTEL, LT. A-16",HORTA NOVA
2,"R ALFREDO FERRAZ, LT. A-15",HORTA NOVA
3,"R HERCULANO PIMENTEL, LT. A-13",HORTA NOVA
4,"R VITOR SANTOS, LT. R-7",HORTA NOVA
5,"R EUGENIO SALVADOR, LT. A-8",HORTA NOVA
6,"EST PACO LUMIAR, LT. R-3",HORTA NOVA
7,"R VITOR SANTOS, LT. C-2",HORTA NOVA
8,"R HERCULANO PIMENTEL, LT. A-12",HORTA NOVA
9,"EST PACO LUMIAR, LT. B-9",HORTA NOVA
10,"R VITOR SANTOS, LT. A-17",HORTA NOVA
11,"R VITOR SANTOS, LT. C-3",HORTA NOVA
12,"R VITOR SANTOS, LT. R-5",HORTA NOVA
13,"R EUGENIO SALVADOR, LT. A-6",HORTA NOVA
14,"R VITOR SANTOS, LT. B-10",HORTA NOVA
15,"EST PACO LUMIAR, LT. A-3",HORTA NOVA
16,"R ALFREDO FERRAZ, LT. A-11",HORTA NOVA
17,"R PRISTA MONTEIRO, LT. B-1",HORTA NOVA
18,"R VITOR SANTOS, LT. C-1",HORTA NOVA
19,"EST PACO LUMIAR, LT. B-2",HORTA NOVA
20,"R VITOR SANTOS, LT. A-18",HORTA NOVA
21,"EST PACO LUMIAR, LT. R-4",HORTA NOVA
22,"EST PACO LUMIAR, LT. B-3",HORTA NOVA
23,"EST PACO LUMIAR, LT. B-5",HORTA NOVA
24,"R VITOR SANTOS, LT. C-5",HORTA NOVA
25,"R VITOR SANTOS, LT. B-11",HORTA NOVA
26,"R HERCULANO PIMENTEL, LT. A-14",HORTA NOVA
27,"R VITOR SANTOS, LT. R-6",HORTA NOVA
28,"R VITOR SANTOS, LT. C-6",HORTA NOVA
29,"R EUGENIO SALVADOR, LT. B-1",HORTA NOVA
30,"R HERCULANO PIMENTEL, N. 16",HORTA NOVA
31,"R PRISTA MONTEIRO, LT. A-1",HORTA NOVA
32,"R VITOR SANTOS, LT. C-4",HORTA NOVA
33,"R PADRE JOAQUIM ALVES CORREIA, N. 6",CASAL DOS MACHADOS
34,"R PADRE JOAQUIM ALVES CORREIA, N. 8",CASAL DOS MACHADOS
35,"R ALFREDO FERRAZ, LT. A-9",HORTA NOVA
36,"EST PACO LUMIAR, LT. R-2",HORTA NOVA
37,"R ALFREDO FERRAZ, LT. A-10",HORTA NOVA
38,"R VITOR SANTOS, LT. R-8",HORTA NOVA
39,"R PADRE JOAQUIM ALVES CORREIA, N. 16",CASAL DOS MACHADOS
40,"R PADRE JOAQUIM ALVES CORREIA, N. 18",CASAL DOS MACHADOS
41,"R EUGENIO SALVADOR, LT. A-5",HORTA NOVA
42,"R VITOR SANTOS, LT. A-19",HORTA NOVA
43,"EST PACO LUMIAR, LT. B-4",HORTA NOVA
44,"R PRISTA MONTEIRO, LT. A-2",HORTA NOVA
45,"LG CALDERON DINIS, N. 3",CASAL DOS MACHADOS
46,"R FRANCISCO SANTOS, LT. 44",FURNAS
47,"EST PACO LUMIAR, LT. B-6",HORTA NOVA
48,"EST PACO LUMIAR, LT. A-4",HORTA NOVA
49,"R HERCULANO PIMENTEL, LT. R-3",HORTA NOVA
50,"AV MOUZINHO ALBUQUERQUE, LT. 71",VALE SANTO ANTONIO
51,"R FRANCISCO SANTOS, LT. 43",FURNAS
52,"R FRANCISCO SANTOS, LT. 39",FURNAS
53,"R VITOR SANTOS, LT. A-20",HORTA NOVA
54,"EST PACO LUMIAR, LT. B-8",HORTA NOVA
55,"AV MOUZINHO ALBUQUERQUE, LT. 55",VALE SANTO ANTONIO
56,"AV CARLOS PAREDES, LT. 7.10",ALTA LISBOA SUL
57,"R ALCINA BASTOS, LT. 4",FURNAS
58,"R COSTA MOTA, LT. 9",FURNAS
59,"R HERCULANO PIMENTEL, LT. 8",HORTA NOVA
60,"LG MARIA JUDITE CARVALHO, N. 8",CASAL DOS MACHADOS
61,"EST PACO LUMIAR, LT. B-7",HORTA NOVA
62,"R EUGENIO SALVADOR, LT. A-7",HORTA NOVA
63,"BO DA BOAVISTA RUA 2, LT. 20",BOAVISTA
64,"LG MARIA JUDITE CARVALHO, N. 9",CASAL DOS MACHADOS
65,"R JOSE CARLOS SA SILVEIRA, LT. 21",FURNAS
66,"LG CALOUSTE GULBENKIAN, LT. 8",FURNAS
67,"LG CALDERON DINIS, N. 5",CASAL DOS MACHADOS
68,"R PADRE JOAQUIM ALVES CORREIA, N. 14",CASAL DOS MACHADOS
69,"LG CALDERON DINIS, N. 1",CASAL DOS MACHADOS
70,"R JOSE CARLOS SA SILVEIRA, LT. 22",FURNAS
71,"R JOSE CARLOS SA SILVEIRA, LT. 18",FURNAS
72,"R PADRE CARLOS SANTOS, LT. 35",FURNAS
73,"R PADRE ABEL VARZIM, N. 15",CASAL DOS MACHADOS
74,"R VASCO GAMA RODRIGUES, N. 1",CASAL DOS MACHADOS
75,"R FERNANDO SYLVAN, LT. 32",FURNAS
76,"R FERNANDO SYLVAN, LT. 33",FURNAS
77,"R FRANCISCO SANTOS, LT. 45",FURNAS
78,"AV MARIA HELENA VIEIRA SILVA, N. 12 B",ALTO DO LUMIAR
79,"R ALCINA BASTOS, LT. 6",FURNAS
80,"R JOSE CARLOS SA SILVEIRA, LT. 20",FURNAS
81,"R ARTUR DUARTE, N. 1",ALFINETES
82,"R JOAO CESAR MONTEIRO, N. 16",ALFINETES
83,"R JOSE CARLOS SA SILVEIRA, LT. 17",FURNAS
84,"R PADRE CARLOS SANTOS, LT. 37",FURNAS
85,"LG MADALENA PERDIGAO, LT. 26",FURNAS
86,"R JOSE CARLOS SA SILVEIRA, LT. 23",FURNAS
87,"EST PACO LUMIAR, LT. R-1",HORTA NOVA
88,"BO DA HORTA NOVA, LT. A-14",HORTA NOVA
89,"R ARTUR DUARTE, N. 9",ALFINETES
90,"R CARLOS GIL, LT. 646 D",ALFINETES
91,"R JOSE CARLOS SA SILVEIRA, LT. 19",FURNAS
92,"LG CALOUSTE GULBENKIAN, LT. 7",FURNAS
93,"R FERNANDO SYLVAN, LT. 30",FURNAS
94,"R FRANCISCO SANTOS, LT. 42",FURNAS
95,"R VASCO GAMA RODRIGUES, N. 5",CASAL DOS MACHADOS
96,"R PADRE JOAQUIM ALVES CORREIA, N. 10",CASAL DOS MACHADOS
97,"R CARLOS GIL, LT. 647 C",ALFINETES
98,"R CARLOS GIL, LT. 642 B",ALFINETES
99,"R ALCINA BASTOS, LT. 3",FURNAS
100,"R ALCINA BASTOS, LT. 2",FURNAS
101,"SALAO FESTAS BO DAS FURNAS, SN",FURNAS
102,"R RAUL MESNIER PONSARD, N. 12",ALTO DO LUMIAR
103,"R CARLOS GIL, LT. 647 AB",ALFINETES
